"Authors","Author full names","Author(s) ID","Title","Year","Cited by","Link","Affiliations","Authors with affiliations","EID"
"Sotelo-Alcántara G.A.; Alia-Tejacal I.; Rodríguez-Núñez J.R.; Campos-Rojas E.; Juárez-López P.; Pérez-Arias G.A.","Sotelo-Alcántara, G.A. (57738081700); Alia-Tejacal, I. (16425139500); Rodríguez-Núñez, J.R. (34868649900); Campos-Rojas, E. (57204693709); Juárez-López, P. (55871322400); Pérez-Arias, G.A. (57209239098)","57738081700; 16425139500; 34868649900; 57204693709; 55871322400; 57209239098","Postharvest effects of a chitosan-cinnamon essential oil coating on soursop fruits (Annona muricata L.)","2022","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131812004&doi=10.17660%2fActaHortic.2022.1340.5&partnerID=40&md5=37f8d305b4c36931d9bb1c0b2210ef65","Universidad Autónoma del Estado de Morelos, Cuernavaca, Mexico; Universidad de Guanajuato, Celaya, Mexico; Universidad Autónoma Chapingo, Chapingo, Mexico","Sotelo-Alcántara G.A., Universidad Autónoma del Estado de Morelos, Cuernavaca, Mexico; Alia-Tejacal I., Universidad Autónoma del Estado de Morelos, Cuernavaca, Mexico; Rodríguez-Núñez J.R., Universidad de Guanajuato, Celaya, Mexico; Campos-Rojas E., Universidad Autónoma Chapingo, Chapingo, Mexico; Juárez-López P., Universidad Autónoma del Estado de Morelos, Cuernavaca, Mexico; Pérez-Arias G.A., Universidad Autónoma del Estado de Morelos, Cuernavaca, Mexico","2-s2.0-85131812004"
"Zheng K.; Zhang J.; Yang F.; Wang W.; Li W.; Qin C.","Zheng, Kewang (57202785028); Zhang, Jianbing (57780855800); Yang, Fan (57205633118); Wang, Wei (57201866029); Li, Wei (56112626500); Qin, Caiqin (7102687880)","57202785028; 57780855800; 57205633118; 57201866029; 56112626500; 7102687880","Properties and biological activity of chitosan-coix seed starch films incorporated with nano zinc oxide and Artemisia annua essential oil for pork preservation","2022","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133475415&doi=10.1016%2fj.lwt.2022.113665&partnerID=40&md5=40aea7f40847a519891508492d7d3fb6","College of Chemistry and Materials Science, Hubei Engineering University, Xiaogan, 432000, China; Hubei Key Laboratory of Biological Resources and Environmental Biotechnology, Wuhan University, Wuhan, 430079, China; State Grid Xiaogan Electric Power Supply Company, Xiaogan, 432000, China","Zheng K., College of Chemistry and Materials Science, Hubei Engineering University, Xiaogan, 432000, China, Hubei Key Laboratory of Biological Resources and Environmental Biotechnology, Wuhan University, Wuhan, 430079, China; Zhang J., State Grid Xiaogan Electric Power Supply Company, Xiaogan, 432000, China; Yang F., State Grid Xiaogan Electric Power Supply Company, Xiaogan, 432000, China; Wang W., College of Chemistry and Materials Science, Hubei Engineering University, Xiaogan, 432000, China; Li W., College of Chemistry and Materials Science, Hubei Engineering University, Xiaogan, 432000, China; Qin C., College of Chemistry and Materials Science, Hubei Engineering University, Xiaogan, 432000, China","2-s2.0-85133475415"
"Yuan D.; Hao X.; Liu G.; Yue Y.; Duan J.","Yuan, Dongdong (54879468600); Hao, Xu (57207728475); Liu, Guorong (55827732500); Yue, Ying (57478867900); Duan, Jiaojiao (57325267600)","54879468600; 57207728475; 55827732500; 57478867900; 57325267600","A novel composite edible film fabricated by incorporating W/O/W emulsion into a chitosan film to improve the protection of fresh fish meat","2022","28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125873967&doi=10.1016%2fj.foodchem.2022.132647&partnerID=40&md5=210d148a3b12e8b531742b6bc758fe09","Beijing Advanced Innovation Center for Food Nutrition and Human Health, Beijing Engineering and Technology Research Center of Food Additives, Beijing Technology & Business University, Beijing, 100048, China","Yuan D., Beijing Advanced Innovation Center for Food Nutrition and Human Health, Beijing Engineering and Technology Research Center of Food Additives, Beijing Technology & Business University, Beijing, 100048, China; Hao X., Beijing Advanced Innovation Center for Food Nutrition and Human Health, Beijing Engineering and Technology Research Center of Food Additives, Beijing Technology & Business University, Beijing, 100048, China; Liu G., Beijing Advanced Innovation Center for Food Nutrition and Human Health, Beijing Engineering and Technology Research Center of Food Additives, Beijing Technology & Business University, Beijing, 100048, China; Yue Y., Beijing Advanced Innovation Center for Food Nutrition and Human Health, Beijing Engineering and Technology Research Center of Food Additives, Beijing Technology & Business University, Beijing, 100048, China; Duan J., Beijing Advanced Innovation Center for Food Nutrition and Human Health, Beijing Engineering and Technology Research Center of Food Additives, Beijing Technology & Business University, Beijing, 100048, China","2-s2.0-85125873967"
"Ganeson K.; Razifah M.R.; Mubarak A.; Kam A.; Vigneswari S.; Ramakrishna S.","Ganeson, Keisheni (57200216716); Razifah, M.R. (57479707500); Mubarak, A. (54796803900); Kam, Amin (57194435411); Vigneswari, Sevakumaran (54388223500); Ramakrishna, Seeram (57205523298)","57200216716; 57479707500; 54796803900; 57194435411; 54388223500; 57205523298","Improved functionality of cinnamon oil emulsion-based gelatin films as potential edible packaging film for wax apple","2022","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125903740&doi=10.1016%2fj.fbio.2022.101638&partnerID=40&md5=07ed15884f6771be462ba3dae8d23ad0","Faculty of Science and Marine Environment, Universiti Malaysia Terengganu, Terengganu, Kuala Nerus, 21030, Malaysia; Faculty of Fisheries and Food Science, University Malaysia Terengganu, Terengganu, Kuala Nerus, 21030, Malaysia; Center for Nanotechnology and Sustainability, National University of Singapore, 119260, Singapore","Ganeson K., Faculty of Science and Marine Environment, Universiti Malaysia Terengganu, Terengganu, Kuala Nerus, 21030, Malaysia; Razifah M.R., Faculty of Science and Marine Environment, Universiti Malaysia Terengganu, Terengganu, Kuala Nerus, 21030, Malaysia; Mubarak A., Faculty of Fisheries and Food Science, University Malaysia Terengganu, Terengganu, Kuala Nerus, 21030, Malaysia; Kam A., Faculty of Science and Marine Environment, Universiti Malaysia Terengganu, Terengganu, Kuala Nerus, 21030, Malaysia; Vigneswari S., Faculty of Science and Marine Environment, Universiti Malaysia Terengganu, Terengganu, Kuala Nerus, 21030, Malaysia; Ramakrishna S., Center for Nanotechnology and Sustainability, National University of Singapore, 119260, Singapore","2-s2.0-85125903740"
"El-Gioushy S.F.; El-Masry A.M.; Fikry M.; El-Kholy M.F.; Shaban A.E.; Sami R.; Algarni E.; Alshehry G.; Aljumayi H.; Benajiba N.; Al-Mushhin A.A.M.; Algheshairy R.M.; El-Badawy H.E.","El-Gioushy, Sherif Fathy (56736974400); El-Masry, Ahmed M. (7004325086); Fikry, Mohammad (57190217782); El-Kholy, Mohamed F. (57457559300); Shaban, Ayman E. (57200200142); Sami, Rokayya (55885314800); Algarni, Eman (57422438200); Alshehry, Garsa (57218604566); Aljumayi, Huda (57422003600); Benajiba, Nada (6503982924); Al-Mushhin, Amina A. M. (57219533762); Algheshairy, Reham M. (57218856843); El-Badawy, Hamed E. (54401104700)","56736974400; 7004325086; 57190217782; 57457559300; 57200200142; 55885314800; 57422438200; 57218604566; 57422003600; 6503982924; 57219533762; 57218856843; 54401104700","Utilization of Active Edible Films (Chitosan, Chitosan Nanoparticle, and CaCl2) for Enhancing the Quality Properties and the Shelf Life of Date Palm Fruits (Barhi Cultivar) during Cold Storage","2022","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124849885&doi=10.3390%2fcoatings12020255&partnerID=40&md5=2a61f48f81aa9ff1610b36c8d85aa77b","Horticulture Department, Faculty of Agriculture, Benha University, Moshtohor, Toukh, 13736, Egypt; Department of Agricultural and Biosystems Engineering, Faculty of Agriculture, Benha University, Moshtohor, Toukh, 13736, Egypt; Tropical Fruits Research Department, Horticulture Research Institute, Agricultural Research Centre, Giza, 12511, Egypt; Pomology Department, Faculty of Agriculture, Cairo University, Giza, 12511, Egypt; Department of Food Science and Nutrition, College of Sciences, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Department of Basic Health Sciences, Deanship of Preparatory Year, Princess Nourah bint Abdulrahman University, P.O. Box 84428, Riyadh, 11671, Saudi Arabia; Department of Biology, College of Science and Humanities in Al-Kharj, Prince Sattam Bin Abdulaziz University, Al-Kharj, 11942, Saudi Arabia; Department of Food Science and Human Nutrition, Collage of Agriculture and Veterinary Medicine, Qassim University, Buraydah, 51452, Saudi Arabia","El-Gioushy S.F., Horticulture Department, Faculty of Agriculture, Benha University, Moshtohor, Toukh, 13736, Egypt; El-Masry A.M., Horticulture Department, Faculty of Agriculture, Benha University, Moshtohor, Toukh, 13736, Egypt; Fikry M., Department of Agricultural and Biosystems Engineering, Faculty of Agriculture, Benha University, Moshtohor, Toukh, 13736, Egypt; El-Kholy M.F., Tropical Fruits Research Department, Horticulture Research Institute, Agricultural Research Centre, Giza, 12511, Egypt; Shaban A.E., Pomology Department, Faculty of Agriculture, Cairo University, Giza, 12511, Egypt; Sami R., Department of Food Science and Nutrition, College of Sciences, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Algarni E., Department of Basic Health Sciences, Deanship of Preparatory Year, Princess Nourah bint Abdulrahman University, P.O. Box 84428, Riyadh, 11671, Saudi Arabia; Alshehry G., Department of Food Science and Nutrition, College of Sciences, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Aljumayi H., Department of Food Science and Nutrition, College of Sciences, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Benajiba N., Department of Basic Health Sciences, Deanship of Preparatory Year, Princess Nourah bint Abdulrahman University, P.O. Box 84428, Riyadh, 11671, Saudi Arabia; Al-Mushhin A.A.M., Department of Biology, College of Science and Humanities in Al-Kharj, Prince Sattam Bin Abdulaziz University, Al-Kharj, 11942, Saudi Arabia; Algheshairy R.M., Department of Food Science and Human Nutrition, Collage of Agriculture and Veterinary Medicine, Qassim University, Buraydah, 51452, Saudi Arabia; El-Badawy H.E., Horticulture Department, Faculty of Agriculture, Benha University, Moshtohor, Toukh, 13736, Egypt","2-s2.0-85124849885"
"da Nóbrega Santos E.; Cesar de Albuquerque Sousa T.; Cassiano de Santana Neto D.; Brandão Grisi C.V.; Cardoso da Silva Ferreira V.; Pereira da Silva F.A.","da Nóbrega Santos, Edilayane (57216670664); Cesar de Albuquerque Sousa, Thamyres (57352646000); Cassiano de Santana Neto, Deocleciano (57352761600); Brandão Grisi, Cristiani Viegas (57220874874); Cardoso da Silva Ferreira, Valquíria (57352761700); Pereira da Silva, Fábio Anderson (57223083457)","57216670664; 57352646000; 57352761600; 57220874874; 57352761700; 57223083457","Edible active film based on gelatin and Malpighia emarginata waste extract to inhibit lipid and protein oxidation in beef patties","2022","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119919976&doi=10.1016%2fj.lwt.2021.112837&partnerID=40&md5=f3abaf2d896d7798aaf63d2c5daaf162","Post-Graduate Program in Agro-Food Technology, Center for Humans, Social and Agrarian Sciences, Federal University of Paraiba, Bananeiras, Paraiba, Brazil","da Nóbrega Santos E., Post-Graduate Program in Agro-Food Technology, Center for Humans, Social and Agrarian Sciences, Federal University of Paraiba, Bananeiras, Paraiba, Brazil; Cesar de Albuquerque Sousa T., Post-Graduate Program in Agro-Food Technology, Center for Humans, Social and Agrarian Sciences, Federal University of Paraiba, Bananeiras, Paraiba, Brazil; Cassiano de Santana Neto D., Post-Graduate Program in Agro-Food Technology, Center for Humans, Social and Agrarian Sciences, Federal University of Paraiba, Bananeiras, Paraiba, Brazil; Brandão Grisi C.V., Post-Graduate Program in Agro-Food Technology, Center for Humans, Social and Agrarian Sciences, Federal University of Paraiba, Bananeiras, Paraiba, Brazil; Cardoso da Silva Ferreira V., Post-Graduate Program in Agro-Food Technology, Center for Humans, Social and Agrarian Sciences, Federal University of Paraiba, Bananeiras, Paraiba, Brazil; Pereira da Silva F.A., Post-Graduate Program in Agro-Food Technology, Center for Humans, Social and Agrarian Sciences, Federal University of Paraiba, Bananeiras, Paraiba, Brazil","2-s2.0-85119919976"
"Herrera‐vázquez S.E.; Dublán‐garcía O.; Arizmendi‐cotero D.; Gómez‐oliván L.M.; Islas‐flores H.; Hernández‐navarro M.D.; Ramírez‐durán N.","Herrera‐vázquez, Selene Elizabeth (57224564259); Dublán‐garcía, Octavio (37046036300); Arizmendi‐cotero, Daniel (56893873600); Gómez‐oliván, Leobardo Manuel (57460116600); Islas‐flores, Hariz (55613777300); Hernández‐navarro, María Dolores (56000888500); Ramírez‐durán, Ninfa (56000844100)","57224564259; 37046036300; 56893873600; 57460116600; 55613777300; 56000888500; 56000844100","Optimization of the Physical, Optical and Mechanical Properties of Composite Edible Films of Gelatin, Whey Protein and Chitosan","2022","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123557678&doi=10.3390%2fmolecules27030869&partnerID=40&md5=86dc73a7293059fe6a2fbd50d6bdedac","Laboratorio de Alimentos y Toxicología Ambiental, Facultad de Química, Universidad Autónoma del Estado de México, Paseo Colón Intersección Paseo Tollocan s/n. Col. Residencial Colón, Estado de México, Toluca, 50120, Mexico; Departamento de Ingeniería Industrial, Facultad de Ingeniería, Universidad Tecnológica de México (UNITEC), Campus Toluca, Estado de México, Toluca, 50160, Mexico; Laboratorio de Microbiología Medica y Ambiental, Facultad de Medicina, Universidad Autónoma del Estado de México, Paseo Tollocan intersección Jesús Carranza s/n, Estado de México, Toluca, 50120, Mexico","Herrera‐vázquez S.E., Laboratorio de Alimentos y Toxicología Ambiental, Facultad de Química, Universidad Autónoma del Estado de México, Paseo Colón Intersección Paseo Tollocan s/n. Col. Residencial Colón, Estado de México, Toluca, 50120, Mexico; Dublán‐garcía O., Laboratorio de Alimentos y Toxicología Ambiental, Facultad de Química, Universidad Autónoma del Estado de México, Paseo Colón Intersección Paseo Tollocan s/n. Col. Residencial Colón, Estado de México, Toluca, 50120, Mexico; Arizmendi‐cotero D., Departamento de Ingeniería Industrial, Facultad de Ingeniería, Universidad Tecnológica de México (UNITEC), Campus Toluca, Estado de México, Toluca, 50160, Mexico; Gómez‐oliván L.M., Laboratorio de Alimentos y Toxicología Ambiental, Facultad de Química, Universidad Autónoma del Estado de México, Paseo Colón Intersección Paseo Tollocan s/n. Col. Residencial Colón, Estado de México, Toluca, 50120, Mexico; Islas‐flores H., Laboratorio de Alimentos y Toxicología Ambiental, Facultad de Química, Universidad Autónoma del Estado de México, Paseo Colón Intersección Paseo Tollocan s/n. Col. Residencial Colón, Estado de México, Toluca, 50120, Mexico; Hernández‐navarro M.D., Laboratorio de Alimentos y Toxicología Ambiental, Facultad de Química, Universidad Autónoma del Estado de México, Paseo Colón Intersección Paseo Tollocan s/n. Col. Residencial Colón, Estado de México, Toluca, 50120, Mexico; Ramírez‐durán N., Laboratorio de Microbiología Medica y Ambiental, Facultad de Medicina, Universidad Autónoma del Estado de México, Paseo Tollocan intersección Jesús Carranza s/n, Estado de México, Toluca, 50120, Mexico","2-s2.0-85123557678"
"Lipatova I.M.; Yusova A.A.; Makarova L.I.","Lipatova, I.M. (6603097194); Yusova, A.A. (6507626913); Makarova, L.I. (57191772902)","6603097194; 6507626913; 57191772902","Functional films based on mechanoactivated starch with prolonged release of preservative","2022","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127368886&doi=10.1016%2fj.fbio.2022.101694&partnerID=40&md5=f3153e3e1f2f297e2a6a1dbde07fbd0e","G.A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, 1 Akademicheskaya St., Ivanovo, 153045, Russian Federation","Lipatova I.M., G.A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, 1 Akademicheskaya St., Ivanovo, 153045, Russian Federation; Yusova A.A., G.A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, 1 Akademicheskaya St., Ivanovo, 153045, Russian Federation; Makarova L.I., G.A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, 1 Akademicheskaya St., Ivanovo, 153045, Russian Federation","2-s2.0-85127368886"
"Hashemi Gahruie H.; Mirzapour A.; Ghiasi F.; Eskandari M.H.; Moosavi-Nasab M.; Hosseini S.M.H.","Hashemi Gahruie, Hadi (57204431240); Mirzapour, Armin (57244308100); Ghiasi, Fatemeh (57680532800); Eskandari, Mohammad Hadi (47961773200); Moosavi-Nasab, Marzieh (8862792500); Hosseini, Seyed Mohammad Hashem (56911176900)","57204431240; 57244308100; 57680532800; 47961773200; 8862792500; 56911176900","Development and characterization of gelatin and Persian gum composite edible ﬁlms through complex coacervation","2022","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114189334&doi=10.1016%2fj.lwt.2021.112422&partnerID=40&md5=30bd4d42b88b0d92d5d5bcd0192a6798","Department of Food Science and Technology, School of Agriculture, Shiraz University, Shiraz, Iran","Hashemi Gahruie H., Department of Food Science and Technology, School of Agriculture, Shiraz University, Shiraz, Iran; Mirzapour A., Department of Food Science and Technology, School of Agriculture, Shiraz University, Shiraz, Iran; Ghiasi F., Department of Food Science and Technology, School of Agriculture, Shiraz University, Shiraz, Iran; Eskandari M.H., Department of Food Science and Technology, School of Agriculture, Shiraz University, Shiraz, Iran; Moosavi-Nasab M., Department of Food Science and Technology, School of Agriculture, Shiraz University, Shiraz, Iran; Hosseini S.M.H., Department of Food Science and Technology, School of Agriculture, Shiraz University, Shiraz, Iran","2-s2.0-85114189334"
"Shen W.; Yan M.; Wu S.; Ge X.; Liu S.; Du Y.; Zheng Y.; Wu L.; Zhang Y.; Mao Y.","Shen, Wen (57202061817); Yan, Mengyao (57447610000); Wu, Shang (57395335600); Ge, Xuemei (55507005100); Liu, Shuxing (54380424200); Du, Yan (57447239400); Zheng, Yan (57447117000); Wu, Lixin (57447370100); Zhang, Yue (57447493300); Mao, Yueyang (57395436000)","57202061817; 57447610000; 57395335600; 55507005100; 54380424200; 57447239400; 57447117000; 57447370100; 57447493300; 57395436000","Chitosan nanoparticles embedded with curcumin and its application in pork antioxidant edible coating","2022","37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124408624&doi=10.1016%2fj.ijbiomac.2022.02.025&partnerID=40&md5=061d40a295d4131e38033a9c0847a2cb","School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; College of Light Industry and Food Engineering, Nanjing Forestry University, Nanjing, 210037, China; College of Art and Design, Shaanxi University of Science and Technology, Xi'an, 710021, China","Shen W., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; Yan M., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; Wu S., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; Ge X., College of Light Industry and Food Engineering, Nanjing Forestry University, Nanjing, 210037, China; Liu S., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; Du Y., College of Art and Design, Shaanxi University of Science and Technology, Xi'an, 710021, China; Zheng Y., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; Wu L., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; Zhang Y., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; Mao Y., School of Food and Biological Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China","2-s2.0-85124408624"
"Li Y.-X.; Zhong C.; Zhang H.-Z.; Zhao Y.-Y.; Shu M.; Wu G.-P.","Li, Ya-Xing (57226097549); Zhong, Chan (57209716721); Zhang, Hui-Zhen (57473614000); Zhao, Yuan-Yang (57198809804); Shu, Mei (56622433500); Wu, Guo-Ping (55598390700)","57226097549; 57209716721; 57473614000; 57198809804; 56622433500; 55598390700","Effectiveness of bacteriophage JN01 incorporated in gelatin film with protocatechuic acid on biocontrol of Escherichia coli O157:H7 in beef","2022","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125559754&doi=10.1111%2fijfs.15673&partnerID=40&md5=461ebc92fdfb5661d8598ded91457cbb","College of Food Science and Engineering, Jiangxi Agricultural University, Nanchang, 30045, China","Li Y.-X., College of Food Science and Engineering, Jiangxi Agricultural University, Nanchang, 30045, China; Zhong C., College of Food Science and Engineering, Jiangxi Agricultural University, Nanchang, 30045, China; Zhang H.-Z., College of Food Science and Engineering, Jiangxi Agricultural University, Nanchang, 30045, China; Zhao Y.-Y., College of Food Science and Engineering, Jiangxi Agricultural University, Nanchang, 30045, China; Shu M., College of Food Science and Engineering, Jiangxi Agricultural University, Nanchang, 30045, China; Wu G.-P., College of Food Science and Engineering, Jiangxi Agricultural University, Nanchang, 30045, China","2-s2.0-85125559754"
"Anis A.","Anis, Arfat (7005054973)","7005054973","Essential oils and chitosan based polymeric edible films and coatings as alternative to chemical preservatives","2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125393374&doi=10.1080%2f25740881.2022.2039187&partnerID=40&md5=ede8e7c716adef1f986435c9fc93da54","SABIC Polymer Research Center, Department of Chemical Engineering, King Saud University, Riyadh, Saudi Arabia","Anis A., SABIC Polymer Research Center, Department of Chemical Engineering, King Saud University, Riyadh, Saudi Arabia","2-s2.0-85125393374"
"Suvarna V.; Nair A.; Mallya R.; Khan T.; Omri A.","Suvarna, Vasanti (8722226600); Nair, Arya (57420932000); Mallya, Rashmi (37070937700); Khan, Tabassum (57197741643); Omri, Abdelwahab (35492680500)","8722226600; 57420932000; 37070937700; 57197741643; 35492680500","Antimicrobial Nanomaterials for Food Packaging","2022","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131572124&doi=10.3390%2fantibiotics11060729&partnerID=40&md5=351c39adb0b50985a7829d91afd61a45","Department of Pharmaceutical Chemistry & Quality Assurance, SVKM’s Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, 400056, India; Department of Quality Assurance, SVKM’s Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, 400056, India; The Novel Drug & Vaccine Delivery Systems Facility, Department of Chemistry and Biochemistry, Laurentian University, Sudbury, P3E 2C6, ON, Canada","Suvarna V., Department of Pharmaceutical Chemistry & Quality Assurance, SVKM’s Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, 400056, India; Nair A., Department of Quality Assurance, SVKM’s Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, 400056, India; Mallya R., Department of Quality Assurance, SVKM’s Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, 400056, India; Khan T., Department of Pharmaceutical Chemistry & Quality Assurance, SVKM’s Dr. Bhanuben Nanavati College of Pharmacy, Mumbai, 400056, India; Omri A., The Novel Drug & Vaccine Delivery Systems Facility, Department of Chemistry and Biochemistry, Laurentian University, Sudbury, P3E 2C6, ON, Canada","2-s2.0-85131572124"
"Gautam G.; Rani R.; Badwaik L.S.; Mahanta C.L.","Gautam, Gitanjali (57193418340); Rani, Ruchi (57222316502); Badwaik, Laxmikant S. (54973826900); Mahanta, Charu Lata (6507123919)","57193418340; 57222316502; 54973826900; 6507123919","Chitosan-based films and coatings","2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147789126&doi=10.1002%2f9781119702313.ch4&partnerID=40&md5=89d8308d070964e468cd100941c9af70","Department of Food Engineering and Technology, School of Engineering, Tezpur University, Napaam, Assam, 784028, India","Gautam G., Department of Food Engineering and Technology, School of Engineering, Tezpur University, Napaam, Assam, 784028, India; Rani R., Department of Food Engineering and Technology, School of Engineering, Tezpur University, Napaam, Assam, 784028, India; Badwaik L.S., Department of Food Engineering and Technology, School of Engineering, Tezpur University, Napaam, Assam, 784028, India; Mahanta C.L., Department of Food Engineering and Technology, School of Engineering, Tezpur University, Napaam, Assam, 784028, India","2-s2.0-85147789126"
"Tian B.; Wang J.; Liu Q.; Liu Y.; Chen D.","Tian, Bingren (57195715274); Wang, Jie (57221821316); Liu, Qiang (57273573900); Liu, Yumei (56469847800); Chen, Dejun (56170738600)","57195715274; 57221821316; 57273573900; 56469847800; 56170738600","Formation chitosan-based hydrogel film containing silicon for hops β-acids release as potential food packaging material","2021","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115771890&doi=10.1016%2fj.ijbiomac.2021.09.086&partnerID=40&md5=d2151044804ba671b4e9653d2d4dd5f7","School of Chemical Engineering and Technology, Xinjiang University, Urumqi, 830046, China; College of Chemistry, Xinjiang University, Urumqi, 830046, China","Tian B., School of Chemical Engineering and Technology, Xinjiang University, Urumqi, 830046, China; Wang J., College of Chemistry, Xinjiang University, Urumqi, 830046, China; Liu Q., School of Chemical Engineering and Technology, Xinjiang University, Urumqi, 830046, China; Liu Y., School of Chemical Engineering and Technology, Xinjiang University, Urumqi, 830046, China; Chen D., School of Chemical Engineering and Technology, Xinjiang University, Urumqi, 830046, China","2-s2.0-85115771890"
"Al-Harrasi A.; Bhtaia S.; Al-Azri M.S.; Makeen H.A.; Albratty M.; Alhazmi H.A.; Mohan S.; Sharma A.; Behl T.","Al-Harrasi, Ahmed (6506093146); Bhtaia, Saurabh (57679456900); Al-Azri, Mohammed Said (57677849600); Makeen, Hafiz A. (8409275300); Albratty, Mohammed (57193443653); Alhazmi, Hassan A. (55588491600); Mohan, Syam (26424414900); Sharma, Ajay (57204119650); Behl, Tapan (56560241200)","6506093146; 57679456900; 57677849600; 8409275300; 57193443653; 55588491600; 26424414900; 57204119650; 56560241200","Correction to: Development and Characterization of Chitosan and Porphyran Based Composite Edible Films Containing Ginger Essential Oil (Polymers 2022, 14, 1782)","2022","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134028322&doi=10.3390%2fpolym14132518&partnerID=40&md5=67a72e3f98ae5536ad7cbac7668948f3","Natural & Medical Sciences Research Center, University of Nizwa, P.O. Box 33, Birkat Al Mauz, Nizwa, 616, Oman; School of Health Science, University of Petroleum and Energy Studies, Dehradun, 248007, India; Pharmacy Practice Research Unit, Clinical Pharmacy Department, College of Pharmacy, Jazan University, Jazan, 45142, Saudi Arabia; Department of Pharmaceutical Chemistry, College of Pharmacy, Jazan University, P.O. Box 114, Jazan, 45142, Saudi Arabia; Substance Abuse and Toxicology Research Center, Jazan University, Jazan, 45142, Saudi Arabia; Department of Pharmacognosy & Phytochemistry, School of Pharmaceutical Sciences, Delhi Pharmaceutical Sciences and Research University, New Delhi, 110017, India; Chitkara College of Pharmacy, Chitkara University, Rajpura, 140401, India","Al-Harrasi A., Natural & Medical Sciences Research Center, University of Nizwa, P.O. Box 33, Birkat Al Mauz, Nizwa, 616, Oman; Bhtaia S., Natural & Medical Sciences Research Center, University of Nizwa, P.O. Box 33, Birkat Al Mauz, Nizwa, 616, Oman, School of Health Science, University of Petroleum and Energy Studies, Dehradun, 248007, India; Al-Azri M.S., Natural & Medical Sciences Research Center, University of Nizwa, P.O. Box 33, Birkat Al Mauz, Nizwa, 616, Oman; Makeen H.A., Pharmacy Practice Research Unit, Clinical Pharmacy Department, College of Pharmacy, Jazan University, Jazan, 45142, Saudi Arabia; Albratty M., Department of Pharmaceutical Chemistry, College of Pharmacy, Jazan University, P.O. Box 114, Jazan, 45142, Saudi Arabia; Alhazmi H.A., Department of Pharmaceutical Chemistry, College of Pharmacy, Jazan University, P.O. Box 114, Jazan, 45142, Saudi Arabia, Substance Abuse and Toxicology Research Center, Jazan University, Jazan, 45142, Saudi Arabia; Mohan S., School of Health Science, University of Petroleum and Energy Studies, Dehradun, 248007, India, Substance Abuse and Toxicology Research Center, Jazan University, Jazan, 45142, Saudi Arabia; Sharma A., Department of Pharmacognosy & Phytochemistry, School of Pharmaceutical Sciences, Delhi Pharmaceutical Sciences and Research University, New Delhi, 110017, India; Behl T., Chitkara College of Pharmacy, Chitkara University, Rajpura, 140401, India","2-s2.0-85134028322"
