"Authors","Author full names","Author(s) ID","Title","Year","Cited by","Link","Correspondence Address"
"Silva S.P.M.; Teixeira J.A.; Silva C.C.G.","Silva, Sofia P. M. (57201554499); Teixeira, José A. (13402823200); Silva, Célia C. G. (7201387501)","57201554499; 13402823200; 7201387501","Prevention of Fungal Contamination in Semi-Hard Cheeses by Whey–Gelatin Film Incorporated with Levilactobacillus brevis SJC120","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152801125&doi=10.3390%2ffoods12071396&partnerID=40&md5=bf5c87e582cccc26a8a59c068f0f1fa5","C.C.G. Silva; Institute of Agricultural and Environmental Research and Technology (IITAA), University of the Azores, Angra do Heroísmo, 9700-042, Portugal; email: celia.cg.silva@uac.pt"
"Priyadharshee M.; Preetha R.","Priyadharshee, M. (58097059200); Preetha, R. (11939497000)","58097059200; 11939497000","Fabrication and characterization of gelatin-based nanocomposite edible film prepared from eggshell with anthocyanin as pH indicator to assure quality of food","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147769284&doi=10.1007%2fs13197-023-05685-4&partnerID=40&md5=f521522fbf29c65af401989eb8420dff","R. Preetha; Department of Food and Process Engineering, School of Bioengineering, The College of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, Chennai, 603203, India; email: preethar@srmist.edu.in"
"Waraczewski R.; Muszyński S.; Sołowiej B.G.","Waraczewski, Robert (57573805200); Muszyński, Siemowit (24385603500); Sołowiej, Bartosz G. (24475635600)","57573805200; 24385603500; 24475635600","An Analysis of the Plant- and Animal-Based Hydrocolloids as Byproducts of the Food Industry","2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144515653&doi=10.3390%2fmolecules27248686&partnerID=40&md5=61e0e80e7ad8dc9b8de4f559b1aa2e3c","B.G. Sołowiej; Department of Dairy Technology and Functional Foods, Faculty of Food Sciences and Biotechnology, University of Life Sciences in Lublin, Lublin, Skromna 8, 20-704, Poland; email: bartosz.solowiej@up.lublin.pl; S. Muszyński; Department of Biophysics, Faculty of Environmental Biology, University of Life Sciences in Lublin, Lublin, Akademicka 13, 20-950, Poland; email: siemowit.muszynski@up.lublin.pl"
"Rosseto M.; Rigueto C.V.T.; Alessandretti I.; de Oliveira R.; Raber Wohlmuth D.A.; Loss R.A.; Dettmer A.; Richards N.S.P.D.S.","Rosseto, Marieli (57210789263); Rigueto, Cesar Vinicius Toniciolli (57215721574); Alessandretti, Ingridy (57221662632); de Oliveira, Rafaela (57958190000); Raber Wohlmuth, Daniela Alexia (57981727500); Loss, Raquel Aparecida (36551180500); Dettmer, Aline (35315367000); Richards, Neila Silvia Pereira dos Santos (55555297600)","57210789263; 57215721574; 57221662632; 57958190000; 57981727500; 36551180500; 35315367000; 55555297600","Whey-based polymeric films for food packaging applications: a review of recent trends","2023","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142656584&doi=10.1002%2fjsfa.12310&partnerID=40&md5=462d0f3b3ce4b6a9bb3e0924b9b765c7","M. Rosseto; Federal University of Santa Maria (UFSM), Rural Science Center, Postgraduate Program in Food Science and Technology (PPGCTA), Santa Maria, Brazil; email: mmarielirossetto@gmail.com; N.S.P.D.S. Richards; Postgraduate Program in Food Science and Technology (PPGCTA), Rural Science Center, Federal University of Santa Maria (UFSM), Santa Maria, RS, Brazil; email: neilarichardsprof@gmail.com; A. Dettmer; Faculty of Agronomy and Veterinary Medicine (FAMV), University of Passo Fundo (UPF), Postgraduate Program in Food Science and Technology (PPGCTA), Passo Fundo, Brazil; email: alinedettmer@upf.br"
"González-López M.E.; Calva-Estrada S.D.J.; Gradilla-Hernández M.S.; Barajas-Álvarez P.","González-López, Martín Esteban (57189266976); Calva-Estrada, Sergio de Jesús (57196150158); Gradilla-Hernández, Misael Sebastián (57205531771); Barajas-Álvarez, Paloma (57221390910)","57189266976; 57196150158; 57205531771; 57221390910","Current trends in biopolymers for food packaging: a review","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168271305&doi=10.3389%2ffsufs.2023.1225371&partnerID=40&md5=80d86b5ee06e62680eb9e6b2839d02a8","; P. Barajas-Álvarez; Escuela de Administración de Instituciones (ESDAI), Universidad Panamericana, Zapopan, Mexico; email: pbarajas@up.edu.mx"
"Adeyeye S.A.O.; Surendra Babu A.; Guruprasath N.; Sankar Ganesh P.","Adeyeye, S.A.O. (57189111064); Surendra Babu, A. (56386260000); Guruprasath, N. (58246421000); Sankar Ganesh, P. (58246421100)","57189111064; 56386260000; 58246421000; 58246421100","Starch Nanocrystal and its Food Packaging Applications","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159041087&doi=10.12944%2fCRNFSJ.11.1.1&partnerID=40&md5=dbddb12c0c4b0d3e2ffef7597370ece2","A. Surendra Babu; Department of Food Technology, Hindustan Institute of Technology and Science, Deemed to be University, Chennai, Kelambakam, Rajiv Gandhi Salai, Padur. Tamil Nadu, India; email: surendrababu.postdoc@gmail.com"
"Das S.; Chaudhari A.K.; Singh V.K.; Dwivedy A.K.; Dubey N.K.","Das, Somenath (57200964800); Chaudhari, Anand Kumar (57200965795); Singh, Vipin Kumar (57206994267); Dwivedy, Abhishek Kumar (55444994200); Dubey, Nawal Kishore (7006062211)","57200964800; 57200965795; 57206994267; 55444994200; 7006062211","Chitosan based encapsulation of Valeriana officinalis essential oil as edible coating for inhibition of fungi and aflatoxin B1 contamination, nutritional quality improvement, and shelf life extension of Citrus sinensis fruits","2023","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147570251&doi=10.1016%2fj.ijbiomac.2023.123565&partnerID=40&md5=b79b90a04ea70ebbc118460666a90fdd","S. Das; Department of Botany, Burdwan Raj College, Purba Bardhaman, West Bengal, 713104, India; email: sndbhu@gmail.com"
"Pouralkhas M.; Kordjazi M.; Ojagh S.M.; Farsani O.A.","Pouralkhas, Mohsen (58236763900); Kordjazi, Moazemeh (49461427600); Ojagh, Seyed Mahdi (35305609800); Farsani, Omid Asadi (58237487700)","58236763900; 49461427600; 35305609800; 58237487700","Physicochemical and functional characterization of gelatin edible film incorporated with fucoidan isolated from Sargassum tenerrimum","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158122079&doi=10.1002%2ffsn3.3402&partnerID=40&md5=94e75786693a0bdffb77c9084d24ed4a","M. Kordjazi; Department of Fisheries, Faculty of Fisheries and the Environment, Gorgan University of Agricultural Sciences and Natural Resources, Gorgan City, Golestan Province, Iran; email: kordjazi.m@gmail.com"
"Gürler N.","Gürler, Nedim (57193711737)","57193711737","Development of chitosan/gelatin/starch composite edible films incorporated with pineapple peel extract and aloe vera gel: Mechanical, physical, antibacterial, antioxidant, and sensorial analysis","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145303850&doi=10.1002%2fpen.26217&partnerID=40&md5=66505729039b9aec03dd8c82825356b6","N. Gürler; Department of Food Process, Tunceli Vocational School, Munzur University, Tunceli, 62000, Turkey; email: nedimgurler@munzur.edu.tr"
"da Rocha J.; Mustafa S.K.; Jagnandan A.; Ahmad M.A.; Rebezov M.; Shariati M.A.; de Souza C.K.","da Rocha, Júlia (58370176300); Mustafa, Syed Khalid (57226344955); Jagnandan, Antalov (58370176400); Ahmad, Mohammad Ayaz (57221604185); Rebezov, Maksim (57507188200); Shariati, Mohammad Ali (56096567300); de Souza, Carolina Krebs (57194237932)","58370176300; 57226344955; 58370176400; 57221604185; 57507188200; 56096567300; 57194237932","Development of active and biodegradable film of ternary-based for food application","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163172455&doi=10.5219%2f1853&partnerID=40&md5=a07c4de965ef1a387051aad3ba98a964","C.K. de Souza; University of Blumenau, Department of Chemical Engineering, Blumenau, São Paulo Street, 3250, Brazil; email: carolinakrebs@furb.br"
"Shahdadi F.; Faryabi M.; Khan H.; Sardoei A.S.; Fazeli-Nasab B.; Goh B.H.; Goh K.W.; Tan C.S.","Shahdadi, Fatemeh (56040106700); Faryabi, Maliheh (58360882000); Khan, Haroon (14521310700); Sardoei, Ali Salehi (56896100900); Fazeli-Nasab, Bahman (57194506922); Goh, Bey Hing (36441148500); Goh, Khang Wen (57210704305); Tan, Ching Siang (58506512400)","56040106700; 58360882000; 14521310700; 56896100900; 57194506922; 36441148500; 57210704305; 58506512400","Mentha longifolia Essential Oil and Pulegone in Edible Coatings of Alginate and Chitosan: Effects on Pathogenic Bacteria in Lactic Cheese","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163095145&doi=10.3390%2fmolecules28114554&partnerID=40&md5=65c51049f68953b35e94caf9620917c5","F. Shahdadi; Food Science and Technology Department, Faculty of Agriculture, University of Jiroft, Jiroft, 7867155311, Iran; email: fatemeh.shahdadi@ujiroft.ac.ir; C.S. Tan; School of Pharmacy, KPJ Healthcare University College, Nilai, 71800, Malaysia; email: tcsiang@kpjuc.edu.my"
"Kowalczyk D.; Karaś M.; Kordowska-Wiater M.; Skrzypek T.; Kazimierczak W.","Kowalczyk, Dariusz (56228715900); Karaś, Monika (7005257963); Kordowska-Wiater, Monika (6506674644); Skrzypek, Tomasz (22235291400); Kazimierczak, Waldemar (11839002700)","56228715900; 7005257963; 6506674644; 22235291400; 11839002700","Inherently acidic films based on chitosan lactate-doped starches and pullulan as carries of nisin: A comparative study of controlled-release and antimicrobial properties","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141321081&doi=10.1016%2fj.foodchem.2022.134760&partnerID=40&md5=f0298d825ff78633474d0c8bdc2f4eaa","D. Kowalczyk; Department of Biochemistry and Food Chemistry, Faculty of Food Sciences and Biotechnology, University of Life Sciences in Lublin, Lublin, Skromna 8, 20-704, Poland; email: dariusz.kowalczyk@up.lublin.pl"
"Lv Y.; Deng Y.; Wang M.; Li C.; Xie P.; Sun B.; Yang X.; Lang Y.","Lv, Yifei (58513480600); Deng, Yuzhen (58512025900); Wang, Mingru (58144930500); Li, Cuiping (58512991200); Xie, Peng (58512508000); Sun, Baozhong (55303342000); Yang, Xiaoxi (57219008902); Lang, Yumiao (56531555000)","58513480600; 58512025900; 58144930500; 58512991200; 58512508000; 55303342000; 57219008902; 56531555000","Effect of chitosan-gelatine edible coating containing nano-encapsulated clove ethanol extract on cold storage of chilled pork","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166248072&doi=10.1016%2fj.meatsci.2023.109288&partnerID=40&md5=93bac8dd62474b25785b745a02e5f91d","X. Yang; Key Laboratory of Public Health Safety of Hebei Province, College of Public Health, Hebei University, Baoding, No. 180 Wusidong Road, 071002, China; email: yxx107@163.com"
"Karkar B.; Şahin S.; Bekiz D.; Akça B.; Özakın C.","Karkar, Büşra (57208795183); Şahin, Saliha (15027401600); Bekiz, Dilara (58284051700); Akça, Bekir (57614868300); Özakın, Cüneyt (57200678942)","57208795183; 15027401600; 58284051700; 57614868300; 57200678942","Evaluation of antioxidant films of chitosan with Aquilaria agallocha extract as packaging material","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159885843&doi=10.1111%2f1750-3841.16613&partnerID=40&md5=15fba3d87560d1f6b94a9a3ec73aaac9","S. Şahin; Faculty of Science and Arts, Department of Chemistry, University of Bursa Uludag, Bursa, 16059, Turkey; email: salihabilgi@uludag.edu.tr"
"Phuong N.T.H.; Koga A.; Nkede F.N.; Tanaka F.; Tanaka F.","Phuong, Nguyen Thi Hang (57464036800); Koga, Arisa (57266207300); Nkede, Francis Ngwane (58157433000); Tanaka, Fumina (56297667700); Tanaka, Fumihiko (57195377796)","57464036800; 57266207300; 58157433000; 56297667700; 57195377796","Application of edible coatings composed of chitosan and tea seed oil for quality improvement of strawberries and visualization of internal structure changes using X-ray computed tomography","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161722586&doi=10.1016%2fj.porgcoat.2023.107730&partnerID=40&md5=13c8f7a285ff121ce7bb2ea796edcc45","F. Tanaka; Division of Bio-production Environmental Sciences, Department of Agro-environmental Sciences, Faculty of Agriculture, Kyushu University, Fukuoka, 744 Motooka, Nishi-ku, Fukuoka shi, 819-0395, Japan; email: fumit@bpes.kyushu-u.ac.jp"
"Bhatia S.; Al-Harrasi A.; Ullah S.; Al-Azri M.S.; Bekhit A.E.-D.A.; Karam L.; Albratty M.; Aldawsari M.F.; Anwer M.K.","Bhatia, Saurabh (57992701900); Al-Harrasi, Ahmed (6506093146); Ullah, Sana (57203688005); Al-Azri, Mohammed Said (57677849600); Bekhit, Alaa El-Din Ahmed (7003826787); Karam, Layal (55670872400); Albratty, Mohammed (57193443653); Aldawsari, Mohammed F. (57208085196); Anwer, Md. Khalid (16303126000)","57992701900; 6506093146; 57203688005; 57677849600; 7003826787; 55670872400; 57193443653; 57208085196; 16303126000","Combined Effect of Drying Temperature and Varied Gelatin Concentration on Physicochemical and Antioxidant Properties of Ginger Oil Incorporated Chitosan Based Edible Films","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146780568&doi=10.3390%2ffoods12020364&partnerID=40&md5=ff33aa9197c6f4628c3d4a1b2a45efe3","S. Bhatia; University of Nizwa, Natural & Medical Sciences Research Center, NizwaOman, 616 Birkat Al Mauz, P.O. Box 33, Oman; email: sbsaurabhbhatia@gmail.com; A. Al-Harrasi; Natural & Medical Sciences Research Center, University of Nizwa, Nizwa, 616 Birkat Al Mauz, P.O. Box 33, Oman; email: aharrasi@unizwa.edu.om"
"Janowicz M.; Kadzińska J.; Bryś J.; Ciurzyńska A.; Karwacka M.; Galus S.","Janowicz, Monika (25822575400); Kadzińska, Justyna (56717686700); Bryś, Joanna (53980962300); Ciurzyńska, Agnieszka (47561153100); Karwacka, Magdalena (57218624627); Galus, Sabina (51061033000)","25822575400; 56717686700; 53980962300; 47561153100; 57218624627; 51061033000","Physical and Chemical Properties of Vegetable Films Based on Pumpkin Purée and Biopolymers of Plant and Animal Origin","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163844403&doi=10.3390%2fmolecules28124626&partnerID=40&md5=e03ab7dd98414df500b69c49b48ea89a","M. Janowicz; Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Warsaw, 159c Nowoursynowska St, 02-776, Poland; email: monika_janowicz@sggw.edu.pl; A. Ciurzyńska; Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Warsaw, 159c Nowoursynowska St, 02-776, Poland; email: agnieszka_ciurzynska@sggw.edu.pl; S. Galus; Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Warsaw, 159c Nowoursynowska St, 02-776, Poland; email: sabina_galus@sggw.edu.pl"
"Li Y.; Guo L.; Yi X.; Xu Q.; Zhang Q.; Zhou Y.; Li X.; Chen B.; Zhao N.; Pan W.; He Y.; Cao P.; Pan Y.; Chen J.","Li, Yuan (58512850800); Guo, Liang (58513342700); Yi, Xiaohan (58512610500); Xu, Qixuan (57338094300); Zhang, Qiao (58513095000); Zhou, Yanxin (58511881400); Li, Xiaoyan (58010006900); Chen, Bin (58512610600); Zhao, Ningwei (58512370600); Pan, Wei (58513095100); He, Yibo (58475907100); Cao, Peng (57338538500); Pan, Yang (36104554900); Chen, Jing (57208636086)","58512850800; 58513342700; 58512610500; 57338094300; 58513095000; 58511881400; 58010006900; 58512610600; 58512370600; 58513095100; 58475907100; 57338538500; 36104554900; 57208636086","Fabrication and characterization of Plumula nelumbinis extract loaded gelatin/zein films (PNE@GZF) to prolong strawberries shelf-life","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166269696&doi=10.1016%2fj.foodcont.2023.109989&partnerID=40&md5=de7fd932129be45e7f45f23e53fb94d5","J. Chen; Department of Pharmacology, School of Pharmacy, Nanjing University of Chinese Medicine, Nanjing, 210023, China; email: jingchen3236@njucm.edu.cn; Y. He; NICE Zhejiang Technology Co. Ltd., Hangzhou, 310051, China; email: hyb@cnnice.com; Y. Pan; Department of Pharmacology, School of Pharmacy, Nanjing University of Chinese Medicine, Nanjing, 210023, China; email: y.pan2006@163.com"
"Wang Z.; Ng K.; Warner R.D.; Stockmann R.; Fang Z.","Wang, Zun (57224868022); Ng, Ken (36569925800); Warner, Robyn Dorothy (8605541900); Stockmann, Regine (7004609220); Fang, Zhongxiang (11739266000)","57224868022; 36569925800; 8605541900; 7004609220; 11739266000","Application of cellulose- and chitosan-based edible coatings for quality and safety of deep-fried foods","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147262152&doi=10.1111%2f1541-4337.13116&partnerID=40&md5=9bc322f248b0035e6b27c469033cb01f","Z. Fang; School of Agriculture and Food, Faculty of Veterinary and Agricultural Sciences, University of Melbourne, Parkville, Royal Parade, 3010, Australia; email: Zhongxiang.fang@unimelb.edu.au"
"Matadamas-Ortiz A.; Hernández-Hernández E.; Castaño-Tostado E.; Amaro-Reyes A.; García-Almendárez B.E.; Velazquez G.; Regalado-González C.","Matadamas-Ortiz, Alexis (58055466200); Hernández-Hernández, Elvia (37069101100); Castaño-Tostado, Eduardo (55993630900); Amaro-Reyes, Aldo (36636729800); García-Almendárez, Blanca E. (7801345595); Velazquez, Gonzalo (57209239720); Regalado-González, Carlos (18040985700)","58055466200; 37069101100; 55993630900; 36636729800; 7801345595; 57209239720; 18040985700","Long-Term Refrigerated Storage of Beef Using an Active Edible Film Reinforced with Mesoporous Silica Nanoparticles Containing Oregano Essential Oil (Lippia graveolens Kunth)","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146026359&doi=10.3390%2fijms24010092&partnerID=40&md5=e235be534c4e86a0c20f08171b17c808","C. Regalado-González; Department of Food Research and Postgraduate Studies, Faculty of Chemistry, Autonomous University of Querétaro, C.U, Querétaro, Cerro de las Campanas s/n, Col. Las Campanas, 76010, Mexico; email: regcarlos@gmail.com"
"Molnar D.; Novotni D.; Kurek M.; Galić K.; Iveković D.; Bionda H.; Ščetar M.","Molnar, Dunja (57918060900); Novotni, Dubravka (24466895100); Kurek, Mia (37021579300); Galić, Kata (6602933520); Iveković, Damir (6506683282); Bionda, Helena (57918650400); Ščetar, Mario (35849463600)","57918060900; 24466895100; 37021579300; 6602933520; 6506683282; 57918650400; 35849463600","Characteristics of edible films enriched with fruit by-products and their application on cookies","2023","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139414023&doi=10.1016%2fj.foodhyd.2022.108191&partnerID=40&md5=8ccc8332a6db891df03f7f02773d26c6","M. Ščetar; University of Zagreb, Faculty of Food Technology and Biotechnology, Zagreb, Pierottijeva 6, 10000, Croatia; email: mscetar@pbf.hr"
