Chi,Gel,Gly,Pec,Sta,Oil,T(°C),%RH,t(h),TS,WVP,%E
0.0,3.975,0.795,0.0,0.0,0.0,30,53.0,24,45.0,8.0,6.4
1.0,0.0,0.2,0.0,0.0,0.0,21,54.0,24,627.5,96.2,4.2
1.496,0.0,0.3,0.0,0.0,0.0,40,54.0,24,656.0,79.3,2.77
0.24,0.36,1.4,0.0,0.0,0.0,25,58.0,36,22.6,7.68,37.54
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.998,0.0,0.0,0.0,0.0,2.0,25,60.0,48,50.0,130.2,6.0
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.24,0.5,1.26,0.0,0.0,0.0,25,58.0,12,3.2,7.68,63.39
1.0,0.0,0.75,0.0,0.0,0.0,40,50.0,140,15.8,29.06,39.9
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
1.0,0.0,0.2,0.0,0.0,4.557,21,57.0,24,32.4,63.19,42.8
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
1.0,0.0,0.2,0.0,0.0,1.499,21,57.0,24,6.7,66.69,32.7
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
1.0,0.0,0.2,0.0,0.0,4.557,21,57.0,24,32.4,66.69,32.7
1.0,0.0,0.2,0.0,0.0,1.951,21,57.0,24,42.2,42.56,24.5
0.24,0.36,1.4,0.0,0.0,0.0,25,58.0,36,22.6,7.68,37.54
1.496,0.0,0.3,0.0,0.0,0.0,40,54.0,24,210.0,0.27,2.77
0.92,0.0,0.387,0.0,1.38,0.0,60,50.0,18,40.41,101.2,35.1
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
2.0,0.0,0.0,0.0,0.0,1.18,26,0.0,72,9.45,0.63,4.86
0.998,0.0,0.2,0.0,0.0,4.0,30,53.0,24,65.0,17.0,5.7
0.992,0.0,0.0,0.0,0.0,0.0,25,60.0,48,59.0,86.0,5.5
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,48.9,60.8,75.4
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.998,0.0,0.3,0.0,0.0,0.0,25,54.0,168,392.0,92.2,15.5
0.92,0.46,0.387,0.0,0.92,0.0,60,50.0,18,33.36,94.7,100.3
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
1.0,0.0,0.2,0.0,0.0,0.57,21,57.0,24,46.4,27.77,23.7
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.36,92.2,100.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.922,0.0,0.194,0.0,0.922,0.0,60,50.0,18,41.45,70.3,8.9
0.919,0.0,0.579,0.0,0.919,0.0,60,50.0,18,40.91,57.8,110.7
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.499,0.0,0.3,0.0,0.0,0.0,40,54.0,24,215.0,38.5,2.46
1.0,0.0,0.2,0.0,0.0,2.927,21,57.0,24,36.3,66.69,42.8
0.499,0.0,0.3,0.0,0.0,0.0,2,54.0,336,395.0,72.5,8.51
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,59.88,81.7,100.1
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,28.83,60.8,110.7
0.92,0.0,0.387,0.0,1.38,0.0,60,50.0,18,13.63,101.2,50.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.491,1.964,0.491,0.0,0.0,1.409,30,53.0,24,6.7,15.0,41.0
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,34.89,81.7,100.8
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,26.4,65.8,80.5
0.92,0.0,0.387,0.0,1.38,2.927,60,50.0,18,36.36,101.2,50.3
0.922,0.461,0.194,0.0,0.922,0.0,60,50.0,18,39.26,87.5,21.5
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.981,0.0,0.0,0.0,0.0,0.5,25,60.0,48,60.4,92.0,6.0
0.992,0.0,0.0,0.0,0.0,0.0,25,60.0,12,6.42,86.0,5.5
0.24,0.36,1.4,0.0,0.0,0.0,25,58.0,36,22.4,7.68,37.54
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
0.24,0.06,1.4,0.3,0.0,0.0,25,58.0,12,22.16,7.68,27.18
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,4.2,7.68,63.39
0.0,3.975,0.795,0.0,0.0,0.0,30,53.0,24,398.0,8.0,6.4
0.24,0.5,1.26,0.0,0.0,0.0,25,58.0,12,3.2,7.68,63.39
0.922,0.0,0.194,0.0,0.922,0.0,60,50.0,18,38.87,70.3,8.9
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.46,92.2,100.3
0.92,0.23,0.387,0.0,0.46,0.0,60,50.0,18,49.4,80.6,100.4
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
1.4,0.0,0.0,0.0,0.0,0.0,60,62.0,24,67.11,72.88,21.35
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,46.4,94.7,100.4
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,26.4,65.8,80.5
0.498,1.992,0.459,0.0,0.0,0.0,25,63.0,12,12.05,13.0,63.39
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,34.89,101.7,4.51
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,28.83,60.8,110.7
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,109.0,0.27,26.5
0.998,0.0,0.0,0.0,0.0,2.0,25,60.0,48,50.0,130.2,6.0
1.496,0.0,0.3,0.0,0.0,0.0,2,54.0,336,398.0,8.5,7.72
1.496,0.0,0.3,0.0,0.0,0.0,25,58.0,168,309.0,77.63,26.5
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,33.89,81.7,100.1
1.0,0.0,0.2,0.0,0.0,2.495,21,57.0,24,44.4,44.56,30.2
1.0,0.0,0.2,0.0,0.0,2.377,21,57.0,24,38.4,63.19,42.8
0.499,0.0,0.3,0.0,0.0,0.0,25,54.0,168,107.0,72.5,13.8
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,26.4,65.8,80.5
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.922,0.23,0.194,0.0,0.461,2.927,60,50.0,18,36.36,81.7,51.2
1.0,1.0,0.0,0.0,0.0,0.0,22,50.0,48,54.2,96.0,4.7
2.0,0.0,0.0,0.0,0.0,1.187,26,0.0,72,9.85,0.63,4.86
0.0,0.5,1.4,0.1,0.0,0.0,25,58.0,12,6.42,7.68,106.56
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
2.0,0.0,0.0,0.0,0.0,0.0,26,0.0,72,41.45,0.63,4.86
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
1.0,0.0,0.2,0.0,0.0,1.951,21,57.0,24,42.2,76.63,24.5
0.981,0.0,0.0,0.0,0.0,2.0,25,60.0,48,53.0,92.0,6.0
0.499,0.0,0.3,0.0,0.0,0.0,25,54.0,12,24.31,66.3,13.8
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.999,0.0,0.15,0.0,0.0,0.5,22,50.0,24,22.0,10.1,27.34
0.499,0.0,0.3,0.0,1.38,0.0,60,54.0,18,46.4,66.3,44.51
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.24,0.06,1.4,0.3,0.0,0.0,25,58.0,12,22.56,7.68,15.91
1.0,1.0,0.0,0.0,0.0,0.0,40,75.0,140,64.3,105.49,13.7
1.0,0.0,0.2,0.0,0.0,2.495,21,57.0,24,44.4,44.4,35.2
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,73.39,94.7,50.3
0.998,0.0,0.2,0.0,0.0,2.231,30,53.0,24,35.0,17.0,5.7
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
0.92,0.23,0.387,0.0,0.46,0.0,60,50.0,18,49.4,80.6,100.4
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,26.4,65.8,80.5
0.499,0.0,0.3,0.0,0.0,0.0,2,50.0,336,120.0,10.2,8.51
0.998,0.0,0.3,0.0,0.0,0.0,25,60.0,168,372.0,98.0,15.5
0.986,0.986,1.775,0.0,0.0,0.0,25,45.0,14,68.87,0.02,29.77
0.922,0.461,0.194,0.0,0.922,0.0,60,50.0,18,25.56,87.5,21.5
0.92,0.0,0.387,0.0,1.38,0.0,60,50.0,18,40.41,101.2,50.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,49.4,94.7,100.4
0.92,0.45,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
0.498,1.992,0.498,0.0,0.0,0.0,2,53.0,336,351.0,13.0,40.4
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,39.45,92.2,100.3
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,18.9,65.8,80.5
0.919,0.0,0.579,0.0,0.919,0.0,60,50.0,18,38.86,57.8,110.7
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,33.89,81.7,100.1
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,33.89,81.7,100.1
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,28.83,60.8,110.7
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,34.89,101.7,4.51
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.24,0.5,1.26,0.0,0.0,0.0,25,58.0,12,3.2,7.68,63.39
2.0,0.0,0.0,0.0,0.0,0.85,26,0.0,72,12.41,0.54,5.46
1.0,0.0,0.2,0.0,0.0,1.951,21,57.0,24,42.2,76.63,24.5
0.92,0.23,0.387,0.0,0.46,0.0,60,50.0,18,49.4,80.6,100.4
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
1.496,0.0,0.3,0.0,0.0,0.0,2,54.0,336,398.0,0.27,7.72
1.0,0.0,0.2,0.0,0.0,2.927,21,57.0,24,36.31,44.56,24.5
0.92,0.46,0.387,0.0,0.92,0.0,60,50.0,18,32.85,94.7,100.1
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
1.0,0.0,0.2,0.0,0.0,0.0,21,57.0,24,52.5,63.19,42.8
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
0.92,0.46,0.387,0.0,0.92,0.0,60,50.0,18,32.85,94.7,100.1
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,34.89,81.7,100.8
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
2.0,0.0,0.0,0.0,0.0,1.09,26,0.0,72,12.92,0.56,11.03
1.4,0.0,0.0,0.0,0.0,0.0,60,62.0,24,17.0,78.88,21.35
0.986,0.986,1.775,0.0,0.0,0.0,25,45.0,14,68.87,0.02,29.77
0.79,1.185,0.987,0.0,0.0,0.125,24,33.0,72,22.64,0.75,12.75
1.0,0.0,0.2,0.0,0.0,4.557,21,57.0,24,32.4,63.19,42.8
0.24,0.36,1.4,0.0,0.0,0.0,25,58.0,36,22.6,7.68,37.54
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,49.4,94.7,100.4
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.36,92.2,100.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,42.4,81.7,100.1
0.919,0.0,0.579,0.0,0.919,0.0,60,50.0,18,18.9,57.8,75.4
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,26.4,65.8,80.5
2.0,0.0,0.0,0.0,0.0,1.18,26,0.0,72,9.45,0.63,4.86
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
0.132,0.452,1.302,0.162,0.0,0.0,25,58.0,12,5.33,7.68,27.28
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,28.83,60.8,110.7
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
1.333,1.333,0.0,0.0,0.0,0.0,22,50.0,18,36.46,72.0,6.5
0.919,0.0,0.579,0.0,0.0,0.0,2,50.0,336,120.0,57.8,82.5
0.998,0.0,0.299,0.0,0.0,0.0,40,50.0,140,44.9,10.2,16.9
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,38.85,81.7,100.1
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,38.85,81.7,100.1
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
0.992,0.0,0.0,0.0,0.0,2.0,25,60.0,48,50.0,86.0,6.0
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
1.0,0.0,0.0,0.0,0.0,0.0,40,50.0,140,64.3,101.4,13.7
1.496,0.0,0.3,0.0,0.0,0.0,40,54.0,24,656.0,79.3,2.77
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.499,0.0,0.3,0.0,0.0,0.0,25,54.0,168,107.0,38.5,13.8
0.92,0.0,0.387,0.0,0.0,0.0,30,50.0,24,55.0,101.2,50.3
0.998,0.0,0.299,0.0,0.0,0.0,22,50.0,26,627.5,10.2,37.67
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.36,92.2,100.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,92.2,70.6
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,34.89,81.7,100.8
2.0,0.0,0.0,0.0,0.0,0.0,26,0.0,72,6.01,0.54,5.46
0.998,0.0,0.2,0.0,0.0,0.0,30,53.0,24,45.0,17.0,5.7
2.0,0.0,0.0,0.0,0.0,0.27,26,0.0,72,17.67,0.33,4.02
2.0,0.0,0.0,0.0,0.0,2.19,26,0.0,72,9.55,0.63,4.86
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
1.0,0.0,0.2,0.0,0.0,4.557,21,57.0,24,32.4,66.69,32.7
0.993,0.0,0.199,0.0,0.0,0.57,30,60.0,24,46.0,65.0,9.8
0.0,3.886,0.777,0.0,0.0,2.63,30,53.0,24,75.0,11.0,51.0
0.0,1.972,1.775,0.0,0.0,0.0,25,45.0,48,113.0,0.02,27.23
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.92,0.23,0.387,0.0,1.38,0.0,60,50.0,18,40.41,80.6,35.1
0.0,1.972,1.775,0.0,0.0,0.0,25,45.0,12,68.11,0.02,27.23
0.92,0.23,0.387,0.0,0.46,0.0,60,50.0,18,49.4,80.6,100.4
0.92,0.23,0.387,0.0,0.46,0.0,60,50.0,18,63.19,80.6,100.4
0.998,0.0,0.2,0.0,0.0,1.409,30,50.0,24,6.7,10.2,31.0
0.919,0.23,1.25,0.0,0.0,0.0,40,50.0,140,8.7,65.8,48.7
1.0,0.0,1.25,0.0,0.0,0.0,40,75.0,2,9.25,27.24,48.7
0.24,0.5,0.96,0.3,0.0,0.0,25,58.0,12,25.16,7.68,27.18
0.498,1.992,0.499,0.0,0.0,0.0,30,53.0,24,45.0,13.0,9.3
0.79,1.185,0.987,0.0,0.0,1.0,24,33.0,72,13.7,0.75,12.75
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.36,92.2,100.3
1.0,0.0,0.2,0.0,0.0,3.752,21,57.0,24,27.4,66.69,32.7
0.0,3.886,0.777,0.0,0.0,0.0,30,53.0,24,45.0,11.0,51.0
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,95.0,70.6
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.919,0.0,0.579,0.0,0.919,0.0,60,50.0,18,18.9,57.8,75.4
0.794,1.191,0.992,0.0,0.0,0.0,24,33.0,72,23.88,0.86,11.05
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
1.0,0.0,0.0,0.0,0.0,0.0,22,57.0,46,55.83,9.65,4.58
0.0,0.5,1.2,0.3,0.0,0.0,25,58.0,12,6.92,7.68,145.68
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
1.333,1.333,0.0,0.0,0.0,0.0,22,50.0,48,143.2,72.0,6.5
1.0,0.0,0.75,0.0,0.0,3.742,40,75.0,25,27.4,29.53,39.9
0.998,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,92.2,16.5
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
0.92,0.23,0.387,0.0,1.38,0.0,60,50.0,18,33.36,80.6,50.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,46.4,94.7,100.4
0.92,0.46,0.387,0.0,1.38,0.0,60,58.0,18,40.41,9.68,35.1
0.92,0.0,0.387,0.0,1.38,0.0,60,50.0,48,143.2,101.2,50.3
0.922,0.0,0.194,0.0,0.922,0.0,60,62.0,18,39.23,78.88,8.9
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,28.83,60.8,110.7
