Chi,Gel,Gly,Pec,Sta,Oil,T(°C),%RH,t(h),TS,WVP,%E
0.0,0.984,0.992,0.0,0.0,0.0,24,55,72,6.01,11.55,18.98
1.496,0.0,0.3,0.0,0.0,0.0,25,54,168,309.0,79.3,26.5
0.794,1.191,0.992,0.0,0.0,0.0,24,33,72,23.88,0.13,11.05
0.491,1.964,0.491,0.0,0.0,1.409,30,53,24,6.7,15.0,31.0
0.24,0.36,1.4,0.0,0.0,0.0,25,58,12,8.87,7.68,37.54
0.92,0.0,0.387,0.0,0.46,0.0,60,50,18,49.4,92.2,100.4
2.0,0.0,0.0,0.0,0.0,0.27,26,0,72,17.67,0.34,4.02
0.24,0.5,1.26,0.0,0.0,0.0,25,58,12,12.05,7.68,63.39
0.919,0.0,0.579,0.0,0.919,0.0,60,50,18,28.83,57.8,110.7
0.998,0.0,0.299,0.0,0.0,0.0,22,50,26,23.87,10.2,37.67
0.0,0.5,1.4,0.1,0.0,0.0,25,58,12,2.92,7.68,106.56
0.998,0.0,0.3,0.0,0.0,0.0,40,54,24,231.0,40.8,1.5
0.24,0.5,0.96,0.3,0.0,0.0,25,58,12,22.16,7.68,27.18
1.0,0.0,0.2,0.0,0.0,3.742,21,57,24,27.4,66.69,32.7
0.922,0.23,0.194,0.0,0.461,0.0,60,50,18,36.46,81.7,51.2
0.92,0.23,0.387,0.0,0.92,0.0,60,50,18,33.89,81.7,100.8
0.793,1.189,0.991,0.0,0.0,0.125,24,33,72,22.64,0.24,12.03
1.972,0.0,1.775,0.0,0.0,0.0,25,45,14,20.96,0.03,27.64
1.496,0.0,0.3,0.0,0.0,0.0,2,54,336,398.0,84.5,7.72
0.986,0.986,1.775,0.0,0.0,0.0,25,45,14,31.87,0.02,29.77
0.97,0.0,0.0,0.0,0.0,3.0,25,60,48,22.0,65.0,1.7
0.999,0.0,0.15,0.0,0.0,0.0,22,50,25,36.85,10.1,27.34
